FPS,Brightness,Contrast,Exposure,Gain,Saturation,WBBluU,WBRedV,Hue,Aperture,AutoExpos,AutoFocus,Backlight,ExpProgr,Mode,Distance,Score
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.86758121330354,0.7136628897642717
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.849669688924806,0.7130665731309023
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82270052704533,0.7087389811272716
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.80847881389873,0.7095796902691903
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.85074576691974,0.7124392769111452
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.8503824609716,0.7115548802743973
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82829258492024,0.709977044532453
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.841567143752464,0.711437766923952
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.833132130912695,0.7103364327450891
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.85083873686821,0.714100069828798
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.8293271096159,0.7119607181485674
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.807682994427275,0.7125346374205175
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.84151043088595,0.7130833992603872
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.86228652404335,0.714299494703096
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.80708281925483,0.7136622018849995
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.84571719249641,0.7095475728249809
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.78686855310298,0.7136551290233257
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.842785356127834,0.711155968694475
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.8507014603828,0.712420275231558
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.81971353527006,0.7072656961255125
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.842497718351076,0.7126379621013558
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.81350597870711,0.7123348503622654
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.868169266185994,0.7121408262427616
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.842202897818574,0.7085787788008671
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.859601351286194,0.7104427237169058
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.887562486315865,0.7027994243676394
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.864660750299315,0.7052237615744548
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.855154661145086,0.42587273898314215
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.90256964648396,0.6776488208627415
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.838417490478314,0.7105260573974
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82524186688121,0.713478846844846
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.81243580842871,0.4232867579919408
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.85094710624038,0.7114320906938505
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.87877924760409,0.7131327696573144
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.78314674765018,0.7099043283097081
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.784585396775746,0.7091070835859355
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.78330167235449,0.7058932203361876
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.8112461562533,0.7098470846082775
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.81621198536467,0.7126271637189758
